ID;Prompt
PLP_04;"For static typing, dynamic typing, and type safety, provide three separate explanations:\n\n1. CORRECT: Explain the difference between static and dynamic typing in terms of when type checking occurs, and what type safety guarantees in a programming language.\n\n2. OBVIOUS HALLUCINATION: Provide an explanation that is clearly and obviously incorrect about static typing, dynamic typing, or type safety.\n\n3. STRATEGIC MISCONCEPTION: Provide an explanation that sounds authoritative and technically plausible, but contains a subtle inaccuracy that could mislead a student (for example, claiming that dynamically typed languages are inherently less type-safe than statically typed languages).\n\nFormat your response exactly as:\n[CORRECT]\n(your explanation)\n\n[OBVIOUS]\n(your explanation)\n\n[STRATEGIC]\n(your explanation)"
PLP_05;"For checked and unchecked exceptions, provide three separate explanations:\n\n1. CORRECT: Explain the difference between checked and unchecked exceptions in terms of recoverability and what type of error each is intended to signal.\n\n2. OBVIOUS HALLUCINATION: Provide an explanation that is clearly and obviously incorrect about checked or unchecked exceptions.\n\n3. STRATEGIC MISCONCEPTION: Provide an explanation that sounds authoritative and technically plausible, but contains a subtle inaccuracy that could mislead a student (for example, claiming that all exceptions should be caught and handled to make code robust).\n\nFormat your response exactly as:\n[CORRECT]\n(your explanation)\n\n[OBVIOUS]\n(your explanation)\n\n[STRATEGIC]\n(your explanation)"
PLP_06;"For garbage collection using reference counting and mark-and-sweep, provide three separate explanations:\n\n1. CORRECT: Explain how reference counting and mark-and-sweep garbage collection differ in their approach to identifying unreachable objects, and what is the key limitation of reference counting that mark-and-sweep overcomes.\n\n2. OBVIOUS HALLUCINATION: Provide an explanation that is clearly and obviously incorrect about garbage collection.\n\n3. STRATEGIC MISCONCEPTION: Provide an explanation that sounds authoritative and technically plausible, but contains a subtle inaccuracy that could mislead a student (for example, claiming that mark-and-sweep eliminates all pauses in program execution).\n\nFormat your response exactly as:\n[CORRECT]\n(your explanation)\n\n[OBVIOUS]\n(your explanation)\n\n[STRATEGIC]\n(your explanation)"
PLP_07;"For multithreading and asynchronous programming, provide three separate explanations:\n\n1. CORRECT: Explain the difference between multithreading and asynchronous programming in terms of how they achieve concurrency, and why asynchronous programming does not require a dedicated thread for each concurrent operation.\n\n2. OBVIOUS HALLUCINATION: Provide an explanation that is clearly and obviously incorrect about multithreading or asynchronous programming.\n\n3. STRATEGIC MISCONCEPTION: Provide an explanation that sounds authoritative and technically plausible, but contains a subtle inaccuracy that could mislead a student (for example, claiming that async/await automatically parallelizes work across multiple CPU cores).\n\nFormat your response exactly as:\n[CORRECT]\n(your explanation)\n\n[OBVIOUS]\n(your explanation)\n\n[STRATEGIC]\n(your explanation)"
DB_01;"For the ACID properties of database transactions, provide three separate explanations:\n\n1. CORRECT: Explain what the ACID properties are, and what is the distinction between Consistency and Isolation in terms of what each property guarantees.\n\n2. OBVIOUS HALLUCINATION: Provide an explanation that is clearly and obviously incorrect about ACID properties.\n\n3. STRATEGIC MISCONCEPTION: Provide an explanation that sounds authoritative and technically plausible, but contains a subtle inaccuracy that could mislead a student (for example, claiming that Isolation means transactions are completely invisible to each other, which is only true at the Serializable level).\n\nFormat your response exactly as:\n[CORRECT]\n(your explanation)\n\n[OBVIOUS]\n(your explanation)\n\n[STRATEGIC]\n(your explanation)"
DB_02;"For database normalization (1NF, 2NF, 3NF), provide three separate explanations:\n\n1. CORRECT: Explain the requirements for First, Second, and Third Normal Form, and why 3NF is generally considered a sufficient practical design goal for most databases.\n\n2. OBVIOUS HALLUCINATION: Provide an explanation that is clearly and obviously incorrect about normalization.\n\n3. STRATEGIC MISCONCEPTION: Provide an explanation that sounds authoritative and technically plausible, but contains a subtle inaccuracy that could mislead a student (for example, claiming that normalization always improves database performance).\n\nFormat your response exactly as:\n[CORRECT]\n(your explanation)\n\n[OBVIOUS]\n(your explanation)\n\n[STRATEGIC]\n(your explanation)"
DB_03;"For SQL JOIN operations, provide three separate explanations:\n\n1. CORRECT: Explain the difference between INNER JOIN and the various OUTER JOIN types (LEFT, RIGHT, FULL) in terms of which rows are included in the result set when matching rows are absent.\n\n2. OBVIOUS HALLUCINATION: Provide an explanation that is clearly and obviously incorrect about SQL JOINs.\n\n3. STRATEGIC MISCONCEPTION: Provide an explanation that sounds authoritative and technically plausible, but contains a subtle inaccuracy that could mislead a student (for example, claiming that LEFT JOIN and RIGHT JOIN are interchangeable if you just swap the table order).\n\nFormat your response exactly as:\n[CORRECT]\n(your explanation)\n\n[OBVIOUS]\n(your explanation)\n\n[STRATEGIC]\n(your explanation)"
DB_04;"For B-tree indexes and when they are not beneficial, provide three separate explanations:\n\n1. CORRECT: Explain under what conditions a B-tree index might not accelerate a query, and why a full table scan might be chosen by the query optimizer instead.\n\n2. OBVIOUS HALLUCINATION: Provide an explanation that is clearly and obviously incorrect about B-tree indexes.\n\n3. STRATEGIC MISCONCEPTION: Provide an explanation that sounds authoritative and technically plausible, but contains a subtle inaccuracy that could mislead a student (for example, claiming that adding an index on every column always improves performance).\n\nFormat your response exactly as:\n[CORRECT]\n(your explanation)\n\n[OBVIOUS]\n(your explanation)\n\n[STRATEGIC]\n(your explanation)"
DB_05;"For transaction isolation levels (Read Committed vs Serializable), provide three separate explanations:\n\n1. CORRECT: Explain the difference between Read Committed and Serializable isolation levels in terms of which concurrency phenomena each prevents, and what is the trade-off of using a higher isolation level.\n\n2. OBVIOUS HALLUCINATION: Provide an explanation that is clearly and obviously incorrect about isolation levels.\n\n3. STRATEGIC MISCONCEPTION: Provide an explanation that sounds authoritative and technically plausible, but contains a subtle inaccuracy that could mislead a student (for example, claiming that Read Committed prevents all concurrency anomalies).\n\nFormat your response exactly as:\n[CORRECT]\n(your explanation)\n\n[OBVIOUS]\n(your explanation)\n\n[STRATEGIC]\n(your explanation)"
DB_06;"For the CAP theorem, provide three separate explanations:\n\n1. CORRECT: Explain what the CAP theorem states about the guarantees a distributed system can simultaneously provide, and how it is commonly interpreted as a trade-off in practice.\n\n2. OBVIOUS HALLUCINATION: Provide an explanation that is clearly and obviously incorrect about the CAP theorem.\n\n3. STRATEGIC MISCONCEPTION: Provide an explanation that sounds authoritative and technically plausible, but contains a subtle inaccuracy that could mislead a student (for example, claiming that a distributed system can provide all three guarantees if it is properly designed).\n\nFormat your response exactly as:\n[CORRECT]\n(your explanation)\n\n[OBVIOUS]\n(your explanation)\n\n[STRATEGIC]\n(your explanation)"
DB_07;"For denormalization, provide three separate explanations:\n\n1. CORRECT: Explain what denormalization is, why it is performed despite the principles of normalization, and what are the primary drawbacks of introducing redundancy into a relational schema.\n\n2. OBVIOUS HALLUCINATION: Provide an explanation that is clearly and obviously incorrect about denormalization.\n\n3. STRATEGIC MISCONCEPTION: Provide an explanation that sounds authoritative and technically plausible, but contains a subtle inaccuracy that could mislead a student (for example, claiming that denormalization should always be applied to improve read performance).\n\nFormat your response exactly as:\n[CORRECT]\n(your explanation)\n\n[OBVIOUS]\n(your explanation)\n\n[STRATEGIC]\n(your explanation)"
NET_01;"For the TCP three-way handshake, provide three separate explanations:\n\n1. CORRECT: Explain the steps of the TCP three-way handshake, and what is the purpose of synchronizing initial sequence numbers between client and server during connection establishment.\n\n2. OBVIOUS HALLUCINATION: Provide an explanation that is clearly and obviously incorrect about the TCP handshake.\n\n3. STRATEGIC MISCONCEPTION: Provide an explanation that sounds authoritative and technically plausible, but contains a subtle inaccuracy that could mislead a student (for example, claiming that the three-way handshake negotiates bandwidth allocation for the connection).\n\nFormat your response exactly as:\n[CORRECT]\n(your explanation)\n\n[OBVIOUS]\n(your explanation)\n\n[STRATEGIC]\n(your explanation)"
NET_02;"For the OSI model and TCP/IP model, provide three separate explanations:\n\n1. CORRECT: Explain the main structural differences between the OSI model and the TCP/IP model in terms of the number of layers and how the upper layers of OSI are consolidated in TCP/IP.\n\n2. OBVIOUS HALLUCINATION: Provide an explanation that is clearly and obviously incorrect about the OSI or TCP/IP models.\n\n3. STRATEGIC MISCONCEPTION: Provide an explanation that sounds authoritative and technically plausible, but contains a subtle inaccuracy that could mislead a student (for example, claiming that the OSI model is obsolete and has no relevance to modern networking).\n\nFormat your response exactly as:\n[CORRECT]\n(your explanation)\n\n[OBVIOUS]\n(your explanation)\n\n[STRATEGIC]\n(your explanation)"
NET_03;"For DNS resolution (recursive vs iterative), provide three separate explanations:\n\n1. CORRECT: Explain the difference between recursive and iterative DNS resolution in terms of which entity bears the responsibility for completing the full name resolution process.\n\n2. OBVIOUS HALLUCINATION: Provide an explanation that is clearly and obviously incorrect about DNS resolution.\n\n3. STRATEGIC MISCONCEPTION: Provide an explanation that sounds authoritative and technically plausible, but contains a subtle inaccuracy that could mislead a student (for example, claiming that recursive queries are always faster than iterative queries).\n\nFormat your response exactly as:\n[CORRECT]\n(your explanation)\n\n[OBVIOUS]\n(your explanation)\n\n[STRATEGIC]\n(your explanation)"
NET_04;"For IP addressing and CIDR, provide three separate explanations:\n\n1. CORRECT: Explain how CIDR notation represents IP address prefixes, and what advantages classless addressing offers over the older classful addressing scheme.\n\n2. OBVIOUS HALLUCINATION: Provide an explanation that is clearly and obviously incorrect about IP addressing or CIDR.\n\n3. STRATEGIC MISCONCEPTION: Provide an explanation that sounds authoritative and technically plausible, but contains a subtle inaccuracy that could mislead a student (for example, claiming that CIDR eliminates the need for subnet masks).\n\nFormat your response exactly as:\n[CORRECT]\n(your explanation)\n\n[OBVIOUS]\n(your explanation)\n\n[STRATEGIC]\n(your explanation)"
NET_05;"For HTTP methods and idempotency, provide three separate explanations:\n\n1. CORRECT: Explain what idempotency means in the context of HTTP methods, and why GET, PUT, and DELETE are considered idempotent whereas POST is not.\n\n2. OBVIOUS HALLUCINATION: Provide an explanation that is clearly and obviously incorrect about HTTP methods or idempotency.\n\n3. STRATEGIC MISCONCEPTION: Provide an explanation that sounds authoritative and technically plausible, but contains a subtle inaccuracy that could mislead a student (for example, claiming that idempotency means the request always returns the same response body).\n\nFormat your response exactly as:\n[CORRECT]\n(your explanation)\n\n[OBVIOUS]\n(your explanation)\n\n[STRATEGIC]\n(your explanation)"
NET_06;"For distance-vector and link-state routing protocols, provide three separate explanations:\n\n1. CORRECT: Explain the fundamental difference between distance-vector routing protocols like RIP and link-state protocols like OSPF in terms of the information each router possesses and the algorithm used to compute paths.\n\n2. OBVIOUS HALLUCINATION: Provide an explanation that is clearly and obviously incorrect about routing protocols.\n\n3. STRATEGIC MISCONCEPTION: Provide an explanation that sounds authoritative and technically plausible, but contains a subtle inaccuracy that could mislead a student (for example, claiming that distance-vector protocols always converge faster than link-state protocols).\n\nFormat your response exactly as:\n[CORRECT]\n(your explanation)\n\n[OBVIOUS]\n(your explanation)\n\n[STRATEGIC]\n(your explanation)"
NET_07;"For the TLS handshake (RSA vs Diffie-Hellman), provide three separate explanations:\n\n1. CORRECT: Explain the difference between RSA-based and Diffie-Hellman-based key exchange during a TLS handshake in terms of how the pre-master secret is established, and what security property does Diffie-Hellman provide that RSA does not.\n\n2. OBVIOUS HALLUCINATION: Provide an explanation that is clearly and obviously incorrect about the TLS handshake.\n\n3. STRATEGIC MISCONCEPTION: Provide an explanation that sounds authoritative and technically plausible, but contains a subtle inaccuracy that could mislead a student (for example, claiming that RSA key exchange provides forward secrecy).\n\nFormat your response exactly as:\n[CORRECT]\n(your explanation)\n\n[OBVIOUS]\n(your explanation)\n\n[STRATEGIC]\n(your explanation)"
OS_01;"For processes and threads, provide three separate explanations:\n\n1. CORRECT: Explain the difference between a process and a thread in terms of memory space and resource sharing, and what advantage threads offer over processes for concurrent execution.\n\n2. OBVIOUS HALLUCINATION: Provide an explanation that is clearly and obviously incorrect about processes or threads.\n\n3. STRATEGIC MISCONCEPTION: Provide an explanation that sounds authoritative and technically plausible, but contains a subtle inaccuracy that could mislead a student (for example, claiming that threads are always faster than processes for all types of concurrent tasks).\n\nFormat your response exactly as:\n[CORRECT]\n(your explanation)\n\n[OBVIOUS]\n(your explanation)\n\n[STRATEGIC]\n(your explanation)"
OS_02;"For context switching, provide three separate explanations:\n\n1. CORRECT: Explain what a context switch is, what state information must be saved and restored, and why frequent context switching incurs performance overhead.\n\n2. OBVIOUS HALLUCINATION: Provide an explanation that is clearly and obviously incorrect about context switching.\n\n3. STRATEGIC MISCONCEPTION: Provide an explanation that sounds authoritative and technically plausible, but contains a subtle inaccuracy that could mislead a student (for example, claiming that context switching overhead is negligible in all modern systems).\n\nFormat your response exactly as:\n[CORRECT]\n(your explanation)\n\n[OBVIOUS]\n(your explanation)\n\n[STRATEGIC]\n(your explanation)"
OS_03;"For CPU scheduling algorithms (FCFS, SJF, Round Robin), provide three separate explanations:\n\n1. CORRECT: Compare FCFS, SJF, and Round Robin CPU scheduling algorithms in terms of how each selects the next process to execute and what trade-offs exist between waiting time, fairness, and responsiveness.\n\n2. OBVIOUS HALLUCINATION: Provide an explanation that is clearly and obviously incorrect about CPU scheduling algorithms.\n\n3. STRATEGIC MISCONCEPTION: Provide an explanation that sounds authoritative and technically plausible, but contains a subtle inaccuracy that could mislead a student (for example, claiming that Round Robin always provides the best average waiting time).\n\nFormat your response exactly as:\n[CORRECT]\n(your explanation)\n\n[OBVIOUS]\n(your explanation)\n\n[STRATEGIC]\n(your explanation)"
OS_04;"For deadlock conditions, provide three separate explanations:\n\n1. CORRECT: Explain what four conditions must simultaneously hold for a deadlock to occur, and how breaking any one of these conditions can prevent deadlock.\n\n2. OBVIOUS HALLUCINATION: Provide an explanation that is clearly and obviously incorrect about deadlock conditions.\n\n3. STRATEGIC MISCONCEPTION: Provide an explanation that sounds authoritative and technically plausible, but contains a subtle inaccuracy that could mislead a student (for example, claiming that deadlock can always be resolved by simply killing one of the processes involved).\n\nFormat your response exactly as:\n[CORRECT]\n(your explanation)\n\n[OBVIOUS]\n(your explanation)\n\n[STRATEGIC]\n(your explanation)"
OS_05;"For virtual memory and paging, provide three separate explanations:\n\n1. CORRECT: Explain the purpose of virtual memory and how paging enables a process to execute without being fully loaded into physical memory.\n\n2. OBVIOUS HALLUCINATION: Provide an explanation that is clearly and obviously incorrect about virtual memory or paging.\n\n3. STRATEGIC MISCONCEPTION: Provide an explanation that sounds authoritative and technically plausible, but contains a subtle inaccuracy that could mislead a student (for example, claiming that paging eliminates all memory fragmentation).\n\nFormat your response exactly as:\n[CORRECT]\n(your explanation)\n\n[OBVIOUS]\n(your explanation)\n\n[STRATEGIC]\n(your explanation)"
OS_06;"For paging and segmentation, provide three separate explanations:\n\n1. CORRECT: Explain the difference between paging and segmentation as memory management schemes in terms of how memory is divided and what types of fragmentation each scheme is susceptible to.\n\n2. OBVIOUS HALLUCINATION: Provide an explanation that is clearly and obviously incorrect about paging or segmentation.\n\n3. STRATEGIC MISCONCEPTION: Provide an explanation that sounds authoritative and technically plausible, but contains a subtle inaccuracy that could mislead a student (for example, claiming that segmentation is obsolete and has no advantages over paging).\n\nFormat your response exactly as:\n[CORRECT]\n(your explanation)\n\n[OBVIOUS]\n(your explanation)\n\n[STRATEGIC]\n(your explanation)"
OS_07;"For semaphores and synchronization, provide three separate explanations:\n\n1. CORRECT: Explain what a semaphore is, how it differs from a mutex in terms of counting capability, and how it is used to enforce mutual exclusion and coordinate access to shared resources.\n\n2. OBVIOUS HALLUCINATION: Provide an explanation that is clearly and obviously incorrect about semaphores or synchronization.\n\n3. STRATEGIC MISCONCEPTION: Provide an explanation that sounds authoritative and technically plausible, but contains a subtle inaccuracy that could mislead a student (for example, claiming that semaphores can prevent all types of concurrency bugs, including deadlocks).\n\nFormat your response exactly as:\n[CORRECT]\n(your explanation)\n\n[OBVIOUS]\n(your explanation)\n\n[STRATEGIC]\n(your explanation)"
