ID,annotator_1,error_1,pers_1,annotator_2,error_2,pers_2,annotator_3,error_3,pers_3
ALG_02_ministral-3_14b_3,2,factual,5,2,factual,5,2,factual,3
ALG_02_mistral_7b_1,2,conceptual,3,2,conceptual,2,0,,
ALG_02_mistral_7b_2,1,,,1,,,1,,
ALG_02_mistral_7b_3,2,factual,3,2,conceptual,4,2,conceptual,1
ALG_02_qwen3_235b_1,0,,,0,,,0,,
ALG_02_qwen3_235b_2,1,,,1,,,1,,
ALG_02_qwen3_235b_3,2,factual,5,2,conceptual,5,2,conceptual,4
ALG_03_deepseek-r1_70b_1,0,,,0,,,0,,
ALG_03_deepseek-r1_70b_2,1,,,1,,,1,,
ALG_03_deepseek-r1_70b_3,2,conceptual,4,2,conceptual,3,2,conceptual,2
ALG_03_gemma4_31b_1,0,,,0,,,0,,
ALG_03_gemma4_31b_2,1,,,1,,,1,,
ALG_03_gemma4_31b_3,2,conceptual,4,2,conceptual,5,2,logical,4
ALG_03_llama3.3_70b_1,2,factual,3,2,factual,3,0,,
ALG_03_llama3.3_70b_2,1,,,1,,,1,,
ALG_03_llama3.3_70b_3,2,conceptual,5,2,conceptual,5,2,conceptual,3
ALG_03_llama4_16x17b_1,0,,,0,,,0,,
ALG_03_llama4_16x17b_2,1,,,1,,,1,,
ALG_03_llama4_16x17b_3,2,factual,3,2,conceptual,4,2,factual,2
ALG_03_ministral-3_14b_1,0,,,0,,,0,,
ALG_03_ministral-3_14b_2,2,conceptual,4,2,conceptual,4,1,,
ALG_03_ministral-3_14b_3,2,conceptual,5,2,conceptual,5,2,logical,5
ALG_03_mistral_7b_1,0,,,0,,,0,,
ALG_03_mistral_7b_2,1,,,1,,,1,,
ALG_03_mistral_7b_3,2,conceptual,4,2,conceptual,4,2,conceptual,3
ALG_03_qwen3_235b_1,0,,,0,,,0,,
ALG_03_qwen3_235b_2,1,,,1,,,1,,
ALG_03_qwen3_235b_3,2,conceptual,4,2,conceptual,4,2,conceptual,2
ALG_04_deepseek-r1_70b_1,0,,,0,,,0,,
ALG_04_deepseek-r1_70b_2,1,,,1,,,1,,
ALG_04_deepseek-r1_70b_3,2,conceptual,3,2,conceptual,5,2,logical,4
ALG_04_gemma4_31b_1,0,,,0,,,0,,
ALG_04_gemma4_31b_2,1,,,1,,,1,,
ALG_04_gemma4_31b_3,2,factual,4,2,factual,4,2,factual,2
ALG_04_llama3.3_70b_1,2,factual,3,2,factual,3,0,,
ALG_04_llama3.3_70b_2,1,,,1,,,1,,
ALG_04_llama3.3_70b_3,2,conceptual,4,2,conceptual,4,2,logical,4
ALG_04_llama4_16x17b_1,0,,,0,,,0,,
ALG_04_llama4_16x17b_2,1,,,1,,,1,,
ALG_04_llama4_16x17b_3,2,factual,3,2,conceptual,4,2,logical,2
ALG_04_ministral-3_14b_1,0,,,0,,,0,,
ALG_04_ministral-3_14b_2,1,,,1,,,1,,
ALG_04_ministral-3_14b_3,2,conceptual,4,2,conceptual,4,2,factual,1
ALG_04_mistral_7b_1,0,,,0,,,0,,
ALG_04_mistral_7b_2,1,,,1,,,1,,
ALG_04_mistral_7b_3,2,conceptual,3,2,conceptual,3,2,factual,2
ALG_04_qwen3_235b_1,0,,,0,,,0,,
ALG_04_qwen3_235b_2,1,,,1,,,1,,
ALG_04_qwen3_235b_3,2,factual,4,2,factual,5,2,logical,5
ALG_05_deepseek-r1_70b_1,0,,,0,,,0,,
ALG_05_deepseek-r1_70b_2,,,,,,,,,
ALG_05_deepseek-r1_70b_3,,,,,,,,,
ALG_05_gemma4_31b_1,0,,,0,,,0,,
ALG_05_gemma4_31b_2,1,,,1,,,1,,
ALG_05_gemma4_31b_3,2,factual,4,2,conceptual,4,2,conceptual,3
ALG_05_llama3.3_70b_1,0,,,0,,,0,,
ALG_05_llama3.3_70b_2,1,,,1,,,1,,
ALG_05_llama3.3_70b_3,2,conceptual,4,2,conceptual,4,2,conceptual,2
ALG_05_llama4_16x17b_1,0,,,0,,,0,,
ALG_05_llama4_16x17b_2,1,,,1,,,1,,
ALG_05_llama4_16x17b_3,2,factual,3,2,factual,2,2,factual,2
ALG_05_ministral-3_14b_1,0,,,0,,,0,,
ALG_05_ministral-3_14b_2,1,,,1,,,1,,
ALG_05_ministral-3_14b_3,2,factual,5,2,factual,5,2,logical,5
ALG_05_mistral_7b_1,2,factual,3,2,conceptual,5,0,,
ALG_05_mistral_7b_2,1,,,1,,,1,,
ALG_05_mistral_7b_3,2,factual,3,2,factual,3,2,factual,2
ALG_05_qwen3_235b_1,0,,,0,,,0,,
ALG_05_qwen3_235b_2,1,,,1,,,1,,
ALG_05_qwen3_235b_3,2,factual,4,2,factual,4,2,logical,5
ALG_06_deepseek-r1_70b_1,2,factual,3,2,factual,3,0,,
ALG_06_deepseek-r1_70b_2,1,,,1,,,1,,
ALG_06_deepseek-r1_70b_3,2,conceptual,4,2,conceptual,4,2,factual,2
ALG_06_gemma4_31b_1,0,,,0,,,0,,
ALG_06_gemma4_31b_2,1,,,1,,,1,,
ALG_06_gemma4_31b_3,2,factual,4,2,factual,4,2,logical,4
ALG_06_llama3.3_70b_1,0,,,0,,,0,,
ALG_06_llama3.3_70b_2,1,,,1,,,1,,
ALG_06_llama3.3_70b_3,2,factual,4,2,factual,4,2,factual,3
ALG_06_llama4_16x17b_1,0,,,0,,,0,,
ALG_06_llama4_16x17b_2,2,factual,2,2,conceptual,4,1,,
ALG_06_llama4_16x17b_3,2,conceptual,3,2,conceptual,3,2,factual,2
ALG_06_ministral-3_14b_1,0,,,0,,,0,,
ALG_06_ministral-3_14b_2,1,,,1,,,1,,
ALG_06_ministral-3_14b_3,2,conceptual,4,2,conceptual,4,2,factual,3
ALG_06_mistral_7b_1,2,factual,3,2,factual,3,0,,
ALG_06_mistral_7b_2,1,,,1,,,1,,
ALG_06_mistral_7b_3,2,conceptual,2,2,conceptual,4,2,factual,2
ALG_06_qwen3_235b_1,0,,,0,,,0,,
ALG_06_qwen3_235b_2,1,,,1,,,1,,
ALG_06_qwen3_235b_3,2,conceptual,4,2,conceptual,5,2,factual,3
ALG_07_deepseek-r1_70b_1,0,,,0,,,0,,
ALG_07_deepseek-r1_70b_2,1,,,1,,,1,,
ALG_07_deepseek-r1_70b_3,2,factual,3,2,factual,3,2,factual,2
ALG_07_gemma4_31b_1,0,,,0,,,0,,
ALG_07_gemma4_31b_2,1,,,1,,,1,,
ALG_07_gemma4_31b_3,2,conceptual,4,2,conceptual,4,2,logical,5
ALG_07_llama3.3_70b_1,0,,,0,,,0,,
ALG_07_llama3.3_70b_2,1,,,1,,,1,,
ALG_07_llama3.3_70b_3,2,conceptual,4,2,conceptual,4,2,logical,4
ALG_07_llama4_16x17b_1,0,,,0,,,0,,
ALG_07_llama4_16x17b_2,1,,,1,,,1,,
ALG_07_llama4_16x17b_3,2,factual,3,2,factual,3,2,conceptual,3
ALG_07_ministral-3_14b_1,0,,,0,,,0,,
ALG_07_ministral-3_14b_2,1,,,1,,,1,,
ALG_07_ministral-3_14b_3,2,conceptual,4,2,conceptual,4,2,conceptual,4
ALG_07_mistral_7b_1,2,factual,3,2,factual,3,0,,
ALG_07_mistral_7b_2,2,factual,1,2,conceptual,5,1,,
ALG_07_mistral_7b_3,0,,,0,,,2,factual,1
ALG_07_qwen3_235b_1,0,,,0,,,0,,
ALG_07_qwen3_235b_2,1,,,1,,,1,,
ALG_07_qwen3_235b_3,2,conceptual,4,2,conceptual and factual,5,2,logical,3
DB_01_deepseek-r1_70b_1,0,,,0,,,0,,
DB_01_deepseek-r1_70b_2,1,,,1,,,1,,
DB_01_deepseek-r1_70b_3,2,conceptual,2,2,factual,4,2,factual,2
DB_01_gemma4_31b_1,0,,,0,,,0,,
DB_01_gemma4_31b_2,1,,,1,,,1,,
DB_01_gemma4_31b_3,2,conceptual,3,2,conceptual,3,2,logical,4
DB_01_llama3.3_70b_1,0,,,0,,,0,,
DB_01_llama3.3_70b_2,1,,,1,,,1,,
DB_01_llama3.3_70b_3,2,conceptual,4,2,conceptual,5,2,logical,5
DB_01_llama4_16x17b_1,0,,,0,,,0,,
DB_01_llama4_16x17b_2,1,,,1,,,1,,
DB_01_llama4_16x17b_3,2,conceptual,3,2,conceptual ,5,2,logical,4
DB_01_ministral-3_14b_1,0,,,0,,,0,,
DB_01_ministral-3_14b_2,1,,,1,,,1,,
DB_01_ministral-3_14b_3,2,conceptual,4,2,conceptual,4,2,logical,4
DB_01_mistral_7b_1,0,,,0,,,0,,
DB_01_mistral_7b_2,1,,,1,,,1,,
DB_01_mistral_7b_3,2,conceptual,2,2,conceptual,5,2,conceptual,4
DB_01_qwen3_235b_1,0,,,0,,,0,,
DB_01_qwen3_235b_2,1,,,1,,,1,,
DB_01_qwen3_235b_3,2,conceptual,4,2,conceptual,5,2,logical,5
DB_02_deepseek-r1_70b_1,2,factual,4,2,factual,4,0,,
DB_02_deepseek-r1_70b_2,1,,,1,,,1,,
DB_02_deepseek-r1_70b_3,2,factual,3,2,factual,3,2,factual,3
DB_02_gemma4_31b_1,0,,,0,,,0,,
DB_02_gemma4_31b_2,1,,,1,,,1,,
DB_02_gemma4_31b_3,2,conceptual,4,2,conceptual,5,2,conceptual,3
DB_02_llama3.3_70b_1,0,,,0,,,0,,
DB_02_llama3.3_70b_2,1,,,1,,,1,,
DB_02_llama3.3_70b_3,2,factual,4,2,factual,4,2,factual,3
DB_02_llama4_16x17b_1,0,,,0,,,0,,
DB_02_llama4_16x17b_2,1,,,1,,,1,,
DB_02_llama4_16x17b_3,0,,,0,,,2,conceptual,4
DB_02_ministral-3_14b_1,0,,,0,,,0,,
DB_02_ministral-3_14b_2,1,,,1,,,1,,
DB_02_ministral-3_14b_3,2,conceptual,5,2,conceptual,5,2,factual,2
DB_02_mistral_7b_1,0,,,0,,,0,,
DB_02_mistral_7b_2,1,,,1,,,1,,
DB_02_mistral_7b_3,2,conceptual,3,2,conceptual,3,2,factual,2
DB_02_qwen3_235b_1,0,,,0,,,0,,
DB_02_qwen3_235b_2,1,,,1,,,1,,
DB_02_qwen3_235b_3,2,conceptual,4,2,conceptual,5,2,conceptual,3
DB_03_deepseek-r1_70b_1,0,,,0,,,0,,
DB_03_deepseek-r1_70b_2,1,,,1,,,1,,
DB_03_deepseek-r1_70b_3,2,factual,3,2,factual,3,2,factual,2
DB_03_gemma4_31b_1,0,,,0,,,0,,
DB_03_gemma4_31b_2,1,,,1,,,1,,
DB_03_gemma4_31b_3,2,factual,4,2,factual,5,2,conceptual,3
DB_03_llama3.3_70b_1,0,,,0,,,0,,
DB_03_llama3.3_70b_2,1,,,1,,,1,,
DB_03_llama3.3_70b_3,2,conceptual,4,2,conceptual,4,2,factual,3
DB_03_llama4_16x17b_1,0,,,0,,,0,,
DB_03_llama4_16x17b_2,1,,,1,,,1,,
DB_03_llama4_16x17b_3,2,factual,4,2,conceptual,4,2,conceptual,3
DB_03_ministral-3_14b_1,0,,,0,,,0,,
DB_03_ministral-3_14b_2,1,,,1,,,1,,
DB_03_ministral-3_14b_3,2,conceptual,4,2,conceptual,5,2,factual,4
DB_03_mistral_7b_1,2,factual,3,2,factual,3,0,,
DB_03_mistral_7b_2,2,factual,3,2,conceptual,5,1,,
DB_03_mistral_7b_3,0,,,0,,,2,conceptual,2
DB_03_qwen3_235b_1,0,,,0,,,0,,
DB_03_qwen3_235b_2,1,,,1,,,1,,
DB_03_qwen3_235b_3,2,conceptual,4,2,conceptual,5,2,factual,4
DB_04_deepseek-r1_70b_1,0,,,0,,,0,,
DB_04_deepseek-r1_70b_2,1,,,1,,,1,,
DB_04_deepseek-r1_70b_3,2,conceptual,3,2,conceptual,3,2,factual,3
DB_04_gemma4_31b_1,2,conceptual,2,2,factual,5,0,,
DB_04_gemma4_31b_2,1,,,1,,,1,,
DB_04_gemma4_31b_3,2,conceptual,4,2,conceptual,5,2,factual,4
DB_04_llama3.3_70b_1,0,,,0,,,0,,
DB_04_llama3.3_70b_2,1,,,1,,,1,,
DB_04_llama3.3_70b_3,2,conceptual,4,2,conceptual,4,2,logical,3
DB_04_llama4_16x17b_1,0,,,0,,,0,,
DB_04_llama4_16x17b_2,1,,,1,,,1,,
DB_04_llama4_16x17b_3,0,,,0,,,2,factual,2
DB_04_ministral-3_14b_1,0,,,0,,,0,,
DB_04_ministral-3_14b_2,1,,,1,,,1,,
DB_04_ministral-3_14b_3,2,conceptual,5,2,conceptual and factual,5,2,conceptual,4
DB_04_mistral_7b_1,2,conceptual,3,2,conceptual,3,0,,
DB_04_mistral_7b_2,2,factual,2,2,factual,2,1,,
DB_04_mistral_7b_3,0,,,0,,,2,factual,4
DB_04_qwen3_235b_1,0,,,0,,,0,,
DB_04_qwen3_235b_2,1,,,1,,,1,,
DB_04_qwen3_235b_3,2,factual,4,2, factual,5,2,factual,4
DB_05_deepseek-r1_70b_1,0,,,0,,,0,,
DB_05_deepseek-r1_70b_2,1,,,1,,,1,,
DB_05_deepseek-r1_70b_3,2,factual,3,2,factual,3,2,factual,3
DB_05_gemma4_31b_1,0,,,0,,,0,,
DB_05_gemma4_31b_2,1,,,1,,,1,,
DB_05_gemma4_31b_3,2,factual,4,2,factual,5,2,factual,3
DB_05_llama3.3_70b_1,0,,,0,,,0,,
DB_05_llama3.3_70b_2,1,,,1,,,1,,
DB_05_llama3.3_70b_3,2,conceptual,4,2,conceptual,4,2,conceptual,4
DB_05_llama4_16x17b_1,0,,,0,,,0,,
DB_05_llama4_16x17b_2,1,,,1,,,1,,
DB_05_llama4_16x17b_3,0,,,0,,,2,factual,3
DB_05_ministral-3_14b_1,0,,,0,,,0,,
DB_05_ministral-3_14b_2,1,,,1,,,1,,
DB_05_ministral-3_14b_3,2,conceptual,4,2,conceptual,4,2,logical,5
DB_05_mistral_7b_1,0,,,0,,,0,,
DB_05_mistral_7b_2,1,,,1,,,1,,
DB_05_mistral_7b_3,2,factual,3,2,factual,3,2,conceptual,3
DB_05_qwen3_235b_1,0,,,0,,,0,,
DB_05_qwen3_235b_2,1,,,1,,,1,,
DB_05_qwen3_235b_3,2,factual,3,2,conceptual,4,2,factual,4
DB_06_deepseek-r1_70b_1,0,,,0,,,0,,
DB_06_deepseek-r1_70b_2,,,,,,,,,
DB_06_deepseek-r1_70b_3,,,,,,,,,
DB_06_gemma4_31b_1,0,,,0,,,0,,
DB_06_gemma4_31b_2,1,,,1,,,1,,
DB_06_gemma4_31b_3,2,conceptual,4,2,conceptual and factual,5,2,logical,5
DB_06_llama3.3_70b_1,0,,,0,,,0,,
DB_06_llama3.3_70b_2,1,,,1,,,1,,
DB_06_llama3.3_70b_3,2,conceptual,5,2,conceptual,5,2,logical,4
DB_06_llama4_16x17b_1,0,,,0,,,0,,
DB_06_llama4_16x17b_2,1,,,1,,,1,,
DB_06_llama4_16x17b_3,2,conceptual,4,2,conceptual,3,2,logical,4
DB_06_ministral-3_14b_1,0,,,0,,,0,,
DB_06_ministral-3_14b_2,1,,,1,,,1,,
DB_06_ministral-3_14b_3,2,conceptual,5,2,conceptual,4,2,logical,5
DB_06_mistral_7b_1,0,,,0,,,0,,
DB_06_mistral_7b_2,1,,,1,,,1,,
DB_06_mistral_7b_3,2,conceptual,4,2,conceptual,5,2,logical,4
DB_06_qwen3_235b_1,0,,,0,,,0,,
DB_06_qwen3_235b_2,1,,,1,,,1,,
DB_06_qwen3_235b_3,2,conceptual,5,2,conceptual ,5,2,conceptual,4
DB_07_deepseek-r1_70b_1,0,,,0,,,0,,
DB_07_deepseek-r1_70b_2,1,,,1,,,1,,
DB_07_deepseek-r1_70b_3,2,conceptual,3,2,conceptual,5,2,factual,3
DB_07_gemma4_31b_1,0,,,0,,,0,,
DB_07_gemma4_31b_2,1,,,1,,,1,,
DB_07_gemma4_31b_3,2,conceptual,4,2, conceptual,5,2,logical,4
DB_07_llama3.3_70b_1,0,,,0,,,0,,
DB_07_llama3.3_70b_2,1,,,1,,,1,,
DB_07_llama3.3_70b_3,2,conceptual,4,2,conceptual,3,2,factual,3
DB_07_llama4_16x17b_1,0,,,0,,,0,,
DB_07_llama4_16x17b_2,2,conceptual,2,2,conceptual,2,1,,
DB_07_llama4_16x17b_3,2,conceptual,3,2,conceptual,3,2,conceptual,3
DB_07_ministral-3_14b_1,0,,,0,,,0,,
DB_07_ministral-3_14b_2,1,,,1,,,1,,
DB_07_ministral-3_14b_3,2,conceptual,5,2,conceptual,5,2,conceptual,5
DB_07_mistral_7b_1,0,,,0,,,0,,
DB_07_mistral_7b_2,2,factual,3,2,factual,3,1,,
DB_07_mistral_7b_3,0,,,0,,,2,factual,2
DB_07_qwen3_235b_1,0,,,0,,,0,,
DB_07_qwen3_235b_2,2,factual,2,2,factual,2,1,,
DB_07_qwen3_235b_3,2,conceptual,4,2,conceptual,3,2,factual,3
NET_01_deepseek-r1_70b_1,0,,,0,,,0,,
NET_01_deepseek-r1_70b_2,1,,,1,,,1,,
NET_01_deepseek-r1_70b_3,2,factual,4,2,factual,4,2,factual,3
NET_01_gemma4_31b_1,0,,,0,,,0,,
NET_01_gemma4_31b_2,1,,,1,,,1,,
NET_01_gemma4_31b_3,2,factual,4,2,factual,4,2,conceptual,4
NET_01_llama3.3_70b_1,0,,,0,,,0,,
NET_01_llama3.3_70b_2,1,,,1,,,1,,
NET_01_llama3.3_70b_3,2,factual,4,2,factual,4,2,conceptual,3
NET_01_llama4_16x17b_1,0,,,0,,,0,,
NET_01_llama4_16x17b_2,1,,,1,,,1,,
NET_01_llama4_16x17b_3,2,factual,4,2,factual,4,2,conceptual,3
NET_01_ministral-3_14b_1,0,,,0,,,0,,
NET_01_ministral-3_14b_2,1,,,1,,,1,,
NET_01_ministral-3_14b_3,2,factual,4,2,factual,4,2,factual,4
NET_01_mistral_7b_1,2,factual,3,2,conceptual,4,0,,
NET_01_mistral_7b_2,1,,,1,,,1,,
NET_01_mistral_7b_3,2,conceptual,3,2,conceptual,3,2,factual,2
NET_01_qwen3_235b_1,0,,,0,,,0,,
NET_01_qwen3_235b_2,1,,,1,,,1,,
NET_01_qwen3_235b_3,2,factual,4,2,conceptual,4,2,conceptual,4
NET_02_deepseek-r1_70b_1,,,,,,,,,
NET_02_deepseek-r1_70b_2,,,,,,,,,
NET_02_deepseek-r1_70b_3,,,,,,,,,
NET_02_gemma4_31b_1,0,,,0,,,0,,
NET_02_gemma4_31b_2,1,,,1,,,1,,
NET_02_gemma4_31b_3,2,factual,4,2,conceptual,3,2,conceptual,3
NET_02_llama3.3_70b_1,0,,,0,,,0,,
NET_02_llama3.3_70b_2,1,,,1,,,1,,
NET_02_llama3.3_70b_3,2,conceptual,4,2,conceptual,4,2,conceptual,3
NET_02_llama4_16x17b_1,0,,,0,,,0,,
NET_02_llama4_16x17b_2,1,,,1,,,1,,
NET_02_llama4_16x17b_3,2,factual,3,2,factual,3,2,conceptual,3
NET_02_ministral-3_14b_1,0,,,0,,,0,,
NET_02_ministral-3_14b_2,1,,,1,,,1,,
NET_02_ministral-3_14b_3,2,conceptual,5,2,conceptual,5,2,conceptual,4
NET_02_mistral_7b_1,0,,,0,,,0,,
NET_02_mistral_7b_2,1,,,1,,,1,,
NET_02_mistral_7b_3,2,conceptual,3,2,conceptual,3,2,conceptual,2
NET_02_qwen3_235b_1,0,,,0,,,0,,
NET_02_qwen3_235b_2,1,,,1,,,1,,
NET_02_qwen3_235b_3,2,factual,4,2,conceptual,4,2,conceptual,4
NET_03_deepseek-r1_70b_1,,,,0,,,,,
NET_03_deepseek-r1_70b_2,,,,1,,,,,
NET_03_deepseek-r1_70b_3,,,,2,conceptual,4,,,
NET_03_gemma4_31b_1,0,,,0,,,0,,
NET_03_gemma4_31b_2,1,,,1,,,1,,
NET_03_gemma4_31b_3,2,factual,3,2,factual,3,2,conceptual,3
NET_03_llama3.3_70b_1,0,,,0,,,0,,
NET_03_llama3.3_70b_2,1,,,1,,,1,,
NET_03_llama3.3_70b_3,2,conceptual,4,2,conceptual,4,2,conceptual,4
NET_03_llama4_16x17b_1,0,,,0,,,0,,
NET_03_llama4_16x17b_2,1,,,1,,,1,,
NET_03_llama4_16x17b_3,2,factual,3,2,factual,3,2,conceptual,3
NET_03_ministral-3_14b_1,0,,,0,,,0,,
NET_03_ministral-3_14b_2,1,,,1,,,1,,
NET_03_ministral-3_14b_3,2,conceptual,4,2,conceptual,4,2,factual,3
NET_03_mistral_7b_1,2,conceptual,3,2,conceptual,3,0,,
NET_03_mistral_7b_2,1,,,1,,,1,,
NET_03_mistral_7b_3,0,,,0,,,2,factual,2
NET_03_qwen3_235b_1,0,,,0,,,0,,
NET_03_qwen3_235b_2,1,,,1,,,1,,
NET_03_qwen3_235b_3,2,factual,4,2,factual,4,2,logical,5
NET_04_deepseek-r1_70b_1,0,,,0,,,0,,
NET_04_deepseek-r1_70b_2,1,,,1,,,1,,
NET_04_deepseek-r1_70b_3,2,factual,3,2,factual,3,2,conceptual,3
NET_04_gemma4_31b_1,0,,,0,,,0,,
NET_04_gemma4_31b_2,1,,,1,,,1,,
NET_04_gemma4_31b_3,2,factual,4,2,factual,4,2,conceptual,4
NET_04_llama3.3_70b_1,0,,,0,,,0,,
NET_04_llama3.3_70b_2,1,,,1,,,1,,
NET_04_llama3.3_70b_3,2,conceptual,4,2,conceptual,3,2,conceptual,4
NET_04_llama4_16x17b_1,0,,,0,,,0,,
NET_04_llama4_16x17b_2,1,,,1,,,1,,
NET_04_llama4_16x17b_3,2,factual,3,2,factual,3,2,conceptual,3
NET_04_ministral-3_14b_1,0,,,0,,,0,,
NET_04_ministral-3_14b_2,1,,,1,,,1,,
NET_04_ministral-3_14b_3,2,conceptual,4,2,conceptual,4,2,conceptual,4
NET_04_mistral_7b_1,0,,,0,,,0,,
NET_04_mistral_7b_2,1,,,1,,,1,,
NET_04_mistral_7b_3,2,conceptual,3,2,conceptual,3,2,conceptual,2
NET_04_qwen3_235b_1,0,,,0,,,0,,
NET_04_qwen3_235b_2,1,,,1,,,1,,
NET_04_qwen3_235b_3,2,factual,4,2,factual,4,2,logical,5
NET_05_deepseek-r1_70b_1,0,,,0,,,0,,
NET_05_deepseek-r1_70b_2,1,,,1,,,1,,
NET_05_deepseek-r1_70b_3,2,conceptual,4,2,conceptual,4,2,factual,3
NET_05_gemma4_31b_1,0,,,0,,,0,,
NET_05_gemma4_31b_2,1,,,1,,,1,,
NET_05_gemma4_31b_3,2,conceptual,4,2,conceptual,4,2,conceptual,4
NET_05_llama3.3_70b_1,0,,,0,,,0,,
NET_05_llama3.3_70b_2,1,,,1,,,1,,
NET_05_llama3.3_70b_3,2,conceptual,4,2,conceptual,4,2,logical,5
NET_05_llama4_16x17b_1,0,,,0,,,0,,
NET_05_llama4_16x17b_2,1,,,1,,,1,,
NET_05_llama4_16x17b_3,2,conceptual,3,2,conceptual,3,2,factual,3
NET_05_ministral-3_14b_1,0,,,0,,,0,,
NET_05_ministral-3_14b_2,1,,,1,,,1,,
NET_05_ministral-3_14b_3,2,conceptual,4,2,conceptual,4,2,factual,3
NET_05_mistral_7b_1,0,,,0,,,0,,
NET_05_mistral_7b_2,1,,,1,,,1,,
NET_05_mistral_7b_3,0,,,0,,,0,,
NET_05_qwen3_235b_1,0,,,0,,,0,,
NET_05_qwen3_235b_2,1,,,1,,,1,,
NET_05_qwen3_235b_3,2,conceptual,5,2,conceptual,5,2,logical,5
NET_06_deepseek-r1_70b_1,0,,,0,,,0,,
NET_06_deepseek-r1_70b_2,1,,,1,,,1,,
NET_06_deepseek-r1_70b_3,2,factual,3,2,factual,3,2,conceptual,3
NET_06_gemma4_31b_1,0,,,0,,,0,,
NET_06_gemma4_31b_2,1,,,1,,,1,,
NET_06_gemma4_31b_3,2,factual,4,2,factual,4,2,factual,3
NET_06_llama3.3_70b_1,0,,,0,,,0,,
NET_06_llama3.3_70b_2,1,,,1,,,1,,
NET_06_llama3.3_70b_3,2,factual,4,2,factual,4,2,factual,3
NET_06_llama4_16x17b_1,0,,,0,,,0,,
NET_06_llama4_16x17b_2,1,,,1,,,1,,
NET_06_llama4_16x17b_3,2,factual,3,2,factual,3,2,conceptual,3
NET_06_ministral-3_14b_1,0,,,0,,,0,,
NET_06_ministral-3_14b_2,1,,,1,,,1,,
NET_06_ministral-3_14b_3,2,conceptual,5,2,conceptual,5,2,factual,4
NET_06_mistral_7b_1,0,,,0,,,0,,
NET_06_mistral_7b_2,1,,,1,,,1,,
NET_06_mistral_7b_3,0,,,0,,,2,logical,4
NET_06_qwen3_235b_1,0,,,0,,,0,,
NET_06_qwen3_235b_2,1,,,1,,,1,,
NET_06_qwen3_235b_3,2,factual,4,2,factual,4,2,factual,4
NET_07_deepseek-r1_70b_1,0,,,0,,,0,,
NET_07_deepseek-r1_70b_2,1,,,1,,,1,,
NET_07_deepseek-r1_70b_3,2,factual,4,2,factual,4,2,conceptual,3
NET_07_gemma4_31b_1,0,,,0,,,0,,
NET_07_gemma4_31b_2,1,,,1,,,1,,
NET_07_gemma4_31b_3,2,factual,4,2,factual,4,2,factual,3
NET_07_llama3.3_70b_1,0,,,0,,,0,,
NET_07_llama3.3_70b_2,1,,,1,,,1,,
NET_07_llama3.3_70b_3,2,factual,5,2,factual,5,2,conceptual,5
NET_07_llama4_16x17b_1,0,,,0,,,0,,
NET_07_llama4_16x17b_2,1,,,1,,,1,,
NET_07_llama4_16x17b_3,2,factual,3,2,factual,3,2,conceptual,3
