ID;Domain;Concept;Ground_Truth;Reference
PLP_04;Programming Languages and Paradigms;Static vs Dynamic typing and type safety;"Static typing performs type checking at compile time, using static analysis of the program to approximate runtime behavior and detect type errors before execution. Dynamic typing performs type checking at runtime, where variables are not bound to fixed types and type errors are detected during program execution. Type safety is the property that well-typed programs do not produce undefined or invalid behavior, such as applying operations to incompatible types.";"Pierce, B. C. (2002). Types and Programming Languages. MIT Press, Chapter 1: Introduction."
PLP_05;Programming Languages and Paradigms;Checked vs Unchecked exceptions;"Use checked exceptions for conditions from which the caller can reasonably be expected to recover. Use runtime exceptions (unchecked) to indicate programming errors, typically precondition violations where the client failed to adhere to the API's contract. Errors are reserved for JVM-level failures and should not be caught or subclassed.";"Bloch, J. (2018). Effective Java (3rd ed.). Addison-Wesley, Item 70, pp. 297–300."
PLP_06;Programming Languages and Paradigms;Garbage Collection: Mark-and-Sweep vs Reference Counting;"Reference counting associates a count of references with each object and reclaims memory when the count reaches zero, but it cannot collect cyclic garbage. The mark-and-sweep algorithm identifies reachable objects by tracing from root references, marks all reachable objects, and reclaims memory occupied by unmarked objects. Unlike reference counting, mark-and-sweep can collect cyclic garbage because it determines reachability through graph traversal rather than reference counts.";"Jones, R.; Hosking, A.; Moss, E. (2023). The Garbage Collection Handbook: The Art of Automatic Memory Management (2nd ed.). CRC Press, Chapter 2 (Mark-Sweep) and Chapter 5 (Reference Counting)."
PLP_07;Programming Languages and Paradigms;Multithreading vs Asynchronous programming;"Multithreading is a form of concurrency that uses multiple threads of execution managed by the operating system to perform tasks in parallel or overlapping time periods. Asynchronous programming is a form of concurrency in which operations are executed without blocking the calling thread, typically by representing ongoing work as tasks that can be awaited or completed later. Unlike multithreading, asynchronous programming does not require a dedicated thread for each concurrent operation.";"Cleary, S. (2019). Concurrency in C# Cookbook (2nd ed.). O'Reilly Media, Chapter 1."
DB_01;Databases;ACID properties (Isolation vs Consistency);"To preserve data integrity, a database system must ensure: Atomicity—either all operations of a transaction are reflected in the database or none are; Consistency—a committed transaction preserves all defined integrity constraints, moving the database from one valid state to another; Isolation—concurrent transactions execute without interfering with each other, as if executed serially, with intermediate results hidden; Durability—once a transaction commits, its changes persist despite system failures. Consistency refers to maintaining database integrity rules, while Isolation refers to controlling interaction between concurrent transactions.";"Silberschatz, A., Korth, H. F., & Sudarshan, S. (2019). Database System Concepts (7th ed.). McGraw-Hill, Chapter 17: Transactions."
DB_02;Databases;Normalization (1NF, 2NF, 3NF);"Normalization organizes data to reduce redundancy and improve integrity. First Normal Form (1NF): All attributes contain atomic (indivisible) values, and there are no repeating groups. Second Normal Form (2NF): The relation is in 1NF and every non-key attribute is fully functionally dependent on the entire primary key (no partial dependencies). Third Normal Form (3NF): The relation is in 2NF and has no transitive dependencies; non-key attributes depend only on candidate keys. Normalization to 3NF eliminates common insertion, update, and deletion anomalies and is widely considered a practical design goal, although higher normal forms (e.g., BCNF) may be required in some cases.";"Date, C. J. (2004). An Introduction to Database Systems (8th ed.). Pearson/Addison Wesley, Chapter 12: Further Normalization I: 1NF, 2NF, 3NF, BCNF, pp. 349–388."
DB_03;Databases;SQL JOIN: INNER vs OUTER;"The SQL JOIN clause combines rows from two or more tables based on a specified join condition. INNER JOIN returns only rows for which the join condition evaluates to true in both tables. LEFT OUTER JOIN returns all rows from the left table and matching rows from the right table; for non-matching rows, attributes from the right table are set to NULL. RIGHT OUTER JOIN returns all rows from the right table and matching rows from the left table; for non-matching rows, attributes from the left table are set to NULL. FULL OUTER JOIN returns all rows from both tables; rows are matched where the join condition holds, and non-matching rows from either side are padded with NULL values.";"Garcia-Molina, H., Ullman, J. D., & Widom, J. (2009). Database Systems: The Complete Book (2nd ed.). Pearson, Chapter 6.3.6–6.3.8: SQL Join Expressions and Outerjoins."
DB_04;Databases;B-tree indexes when not beneficial;"A B-tree index may not be used or may not improve query performance when the query has low selectivity (i.e., it returns a large fraction of the table), in which case a full table scan can be more efficient than index-based access due to the cost of random disk I/O. The index may also be ineffective if the query applies functions, expressions, or negation to the indexed column, preventing efficient index lookup, or if the table is very small. Database query optimizers use cost-based analysis and table statistics to determine whether to use an index.";"Garcia-Molina, H., Ullman, J. D., & Widom, J. (2009). Database Systems: The Complete Book (2nd ed.). Pearson, Chapter 14: Index Structures. / Silberschatz, A., Korth, H. F., & Sudarshan, S. (2019). Database System Concepts (7th ed.). McGraw-Hill, Chapter 14: Indexing."
DB_05;Databases;Transaction isolation levels: Read Committed vs Serializable;"READ COMMITTED ensures that a transaction reads only data that has been committed by other transactions; however, successive reads within the same transaction may return different results, allowing non-repeatable reads and phantom reads. SERIALIZABLE ensures that concurrent transactions execute with results equivalent to some serial schedule, preventing dirty reads, non-repeatable reads, and phantom reads. Higher isolation levels improve correctness guarantees but typically reduce concurrency.";"Silberschatz, A., Korth, H. F., & Sudarshan, S. (2019). Database System Concepts (7th ed.). McGraw-Hill, Chapter 17: Transactions."
DB_06;Databases;CAP theorem;"The CAP theorem states that in the presence of a network partition, a distributed system must choose between Consistency and Availability. Consistency means that all nodes see the same data at the same time (i.e., every read reflects the most recent write). Availability means that every request receives a response, regardless of the state of individual nodes. Partition tolerance means that the system continues to operate despite network partitions (communication failures between nodes). Since network partitions are unavoidable in distributed systems, CAP is commonly interpreted as a trade-off between Consistency (CP) and Availability (AP) under partition conditions.";"Silberschatz, A., Korth, H. F., & Sudarshan, S. (2019). Database System Concepts (7th ed.). McGraw-Hill, Chapter 19: Distributed Databases."
DB_07;Databases;Denormalization;"Denormalization is the process of intentionally introducing redundancy into a normalized relational schema to improve read performance by reducing the need for join operations. It is a deliberate trade-off, commonly used in read-heavy workloads (e.g., reporting or data warehousing), where the cost of joins outweighs the overhead of maintaining redundant data. While denormalization can significantly accelerate SELECT queries, it increases storage requirements, complicates write operations (INSERT, UPDATE, DELETE), and introduces the risk of data inconsistency due to redundant representations.";"Garcia-Molina, H., Ullman, J. D., & Widom, J. (2009). Database Systems: The Complete Book (2nd ed.). Pearson. / Silberschatz, A., Korth, H. F., & Sudarshan, S. (2019). Database System Concepts (7th ed.). McGraw-Hill."
NET_01;Computer Networks;TCP three-way handshake;"The TCP three-way handshake establishes a connection and synchronizes sequence numbers between client and server. (1) The client sends a TCP segment with the SYN flag set and a pseudo-random initial sequence number (client_isn), entering the SYN_SENT state. (2) The server responds with a SYN-ACK segment containing its own pseudo-random initial sequence number (server_isn) and an acknowledgment number of client_isn+1, entering the SYN_RCVD state. (3) The client replies with an ACK segment with acknowledgment number server_isn+1. Both sides then transition to the ESTABLISHED state. The handshake confirms bidirectional communication and initializes sequence number spaces for reliable data transfer.";"Kurose, J. F., & Ross, K. W. (2020). Computer Networking: A Top-Down Approach (8th ed.). Pearson, Chapter 3.5: TCP Connection Management, pp. 240–246."
NET_02;Computer Networks;OSI model vs TCP/IP model;"The OSI model defines a seven-layer architecture: Physical, Data Link, Network, Transport, Session, Presentation, and Application. The TCP/IP model defines a four-layer architecture: Link (Network Interface), Internet, Transport, and Application. The TCP/IP model consolidates the OSI Physical and Data Link layers into the Link layer, and the OSI Session and Presentation layers into the Application layer. While the OSI model serves as a conceptual reference framework, the TCP/IP model reflects the practical architecture of the Internet protocol suite.";"Kurose, J. F., & Ross, K. W. (2020). Computer Networking: A Top-Down Approach (8th ed.). Pearson, Chapter 1.5"
NET_03;Computer Networks;DNS resolution: Recursive vs Iterative;"DNS resolution can be recursive or iterative. In recursive resolution, a DNS server resolves the query on behalf of the client, contacting other servers as needed and returning the final answer. In iterative resolution, each DNS server returns the best information it has (often a referral), and the client (or resolver) continues querying other servers. Recursive queries shift the resolution burden to the server, while iterative queries distribute it across multiple queries.";"Kurose, J. F., & Ross, K. W. (2020). Computer Networking: A Top-Down Approach (8th ed.). Pearson, Chapter 2.4: DNS, pp. 168–175."
NET_04;Computer Networks;IP addressing and CIDR;"Classless Inter-Domain Routing (CIDR) represents IP addresses using a prefix of arbitrary length, written as a.b.c.d/x, where x indicates the number of bits in the network portion. CIDR enables flexible subnetting and efficient allocation of IP address space by eliminating fixed class boundaries. Routers use the longest prefix match rule to determine the forwarding path for a packet.";"Kurose, J. F., & Ross, K. W. (2020). Computer Networking: A Top-Down Approach (8th ed.). Pearson, Chapter 4.4: IP Addressing, pp. 330–336"
NET_05;Computer Networks;HTTP methods and idempotency;"HTTP methods differ in semantics and idempotency. A method is idempotent if multiple identical requests have the same effect as a single request. GET, PUT, and DELETE are idempotent: repeated requests do not change the result beyond the initial application. POST is not idempotent, as repeated requests can create multiple resources or cause repeated side effects. Idempotency is important for reliability and retry mechanisms in distributed systems.";"Kurose, J. F., & Ross, K. W. (2020). Computer Networking: A Top-Down Approach (8th ed.). Pearson, Chapter 2.2: The Web and HTTP, pp. 122–130."
NET_06;Computer Networks;Distance-vector vs Link-state routing;"Distance-vector routing algorithms (e.g., RIP) compute shortest paths based on information from neighboring routers, iteratively updating distance estimates using distributed Bellman-Ford equations. Link-state routing algorithms (e.g., OSPF) require each router to have a complete view of the network topology and compute shortest paths using Dijkstra's algorithm. Distance-vector approaches are simpler but slower to converge and susceptible to routing loops, while link-state approaches converge faster and provide more accurate routing at the cost of higher complexity.";"Kurose, J. F., & Ross, K. W. (2020). Computer Networking: A Top-Down Approach (8th ed.). Pearson, Chapter 5.3–5.4: Routing Algorithms, pp. 365–385."
NET_07;Computer Networks;TLS handshake: RSA vs Diffie-Hellman;"TLS handshake protocols establish a secure connection by negotiating cryptographic parameters and exchanging keys. In RSA-based key exchange, the client encrypts a premaster secret with the server's public key, allowing the server to derive the session keys. In Diffie-Hellman (DH) key exchange, both parties contribute to a shared secret without transmitting it directly, providing forward secrecy. Modern TLS implementations prefer (EC)DHE over RSA key exchange due to improved security properties.";"Kurose, J. F., & Ross, K. W. (2020). Computer Networking: A Top-Down Approach (8th ed.). Pearson, Chapter 8.3: Secure Sockets Layer / TLS, pp. 712–720."
OS_01;Operating Systems;Processes vs Threads;"A process is a program in execution with its own memory space, resources, and execution context. A thread is a lightweight execution unit within a process that shares the same address space and resources but has its own program counter, registers, and stack. Threads within the same process can communicate more efficiently than separate processes due to shared memory.";"Silberschatz, A., Galvin, P. B., & Gagne, G. (2018). Operating System Concepts (10th ed.). Wiley, Chapter 4: Threads, pp. 163–172."
OS_02;Operating Systems;Context switching;"Context switching is the process of saving the state of a currently running process or thread and restoring the state of another, enabling multitasking. The operating system saves CPU registers, program counter, and memory mapping information of the current process and loads the corresponding state of the next scheduled process.";"Silberschatz, A., Galvin, P. B., & Gagne, G. (2018). Operating System Concepts (10th ed.). Wiley, Chapter 5: CPU Scheduling, pp. 189–194."
OS_03;Operating Systems;CPU scheduling algorithms;"CPU scheduling determines which process runs next. FCFS executes processes in arrival order. SJF selects the process with the shortest expected CPU burst time, minimizing average waiting time but risking starvation. Round Robin assigns a fixed time quantum to each process, ensuring fairness and responsiveness in time-sharing systems.";"Silberschatz, A., Galvin, P. B., & Gagne, G. (2018). Operating System Concepts (10th ed.). Wiley, Chapter 5: CPU Scheduling, pp. 198–210."
OS_04;Operating Systems;Deadlock conditions;"A deadlock occurs when a set of processes are permanently blocked. It can arise only if all four Coffman conditions hold simultaneously: mutual exclusion, hold and wait, no preemption, and circular wait. Breaking any one of these conditions prevents deadlock.";"Silberschatz, A., Galvin, P. B., & Gagne, G. (2018). Operating System Concepts (10th ed.). Wiley, Chapter 7: Deadlocks, pp. 312–318."
OS_05;Operating Systems;Virtual memory and paging;"Virtual memory allows execution of processes that may not be fully loaded into physical memory. Paging divides memory into fixed-size pages mapped to frames in physical memory. A page table translates virtual addresses to physical addresses, enabling isolation and efficient memory utilization.";"Silberschatz, A., Galvin, P. B., & Gagne, G. (2018). Operating System Concepts (10th ed.). Wiley, Chapter 9: Virtual Memory, pp. 356–365."
OS_06;Operating Systems;Paging vs Segmentation;"Paging divides memory into fixed-size blocks, eliminating external fragmentation but possibly causing internal fragmentation. Segmentation divides memory into variable-sized logical units such as functions or data structures, improving logical organization but suffering from external fragmentation. Modern systems often combine both approaches.";"Tanenbaum, A. S., & Bos, H. (2015). Modern Operating Systems (4th ed.). Pearson, Chapter 3: Memory Management, pp. 143–150."
OS_07;Operating Systems;Semaphores and synchronization;"A semaphore is a synchronization primitive used to control access to shared resources. A counting semaphore allows multiple concurrent accesses up to a defined limit, while a binary semaphore (mutex) allows only one. Semaphores prevent race conditions by enforcing mutual exclusion and coordination between concurrent processes.";"Silberschatz, A., Galvin, P. B., & Gagne, G. (2018). Operating System Concepts (10th ed.). Wiley, Chapter 6: Synchronization, pp. 246–255."
